What is the primary goal of the ethers.js library?,To be a complete and compact library for interacting with the Ethereum Blockchain and its ecosystem.
"According to ethers.js security features, where are private keys intended to be kept?","They are kept in the client, ensuring they remain safe and sound."
What standard for mnemonic phrases does ethers.js support for importing and exporting HD Wallets?,"It supports BIP 39 mnemonic phrases, also known as 12-word backup phrases."
"Ethers.js meta-classes can create JavaScript objects from any contract ABI, including ABIv2 and _____ ABI.",Human-Readable
How does ethers.js treat Ethereum Naming Service (ENS) names in relation to addresses?,ENS names are treated as first-class citizens and can be used anywhere an Ethereum address is required.
What is the approximate compressed size of the ethers.js library?,"The library is tiny, at approximately 88kb compressed."
"What programming language is ethers.js fully ready for, including definition files and full source code?",TypeScript.
Under which open-source license is ethers.js and all of its dependencies released?,The MIT License.
What is the general term for an ethers.js object that provides a read-only connection to the Ethereum blockchain?,A Provider.
What is the general term for an ethers.js object that can sign messages and transactions to authorize actions on the blockchain?,A Signer.
Which specific Provider connects to an Ethereum node over a JSON-RPC interface?,JsonRpcProvider.
Name the ethers.js provider that allows interaction with the blockchain via the Etherscan API.,EtherscanProvider.
Which ethers.js provider is specifically designed to connect to the Infura platform?,InfuraProvider.
Which provider in ethers.js is used to connect to the Alchemy platform?,AlchemyProvider.
"What provider in ethers.js allows you to wrap an existing Web3-compatible provider, such as MetaMask's `window.ethereum`?",Web3Provider.
"For persistent, stateful connections to an Ethereum node, which provider should be used?",WebSocketProvider.
Which ethers.js provider offers resilience by querying multiple providers and using the first one to respond?,FallbackProvider.
The `Signer` class in ethers.js is an abstract class that is subclassed by which concrete class to represent a standard Ethereum account?,The Wallet class.
What special type of Signer in ethers.js can be used for read-only operations that require a Signer object but will throw an error if a write operation is attempted?,VoidSigner.
"In ethers.js, what class is used to represent and interact with an already-deployed smart contract?",The Contract class.
What ethers.js class is used specifically for the purpose of deploying a new smart contract to the blockchain?,The ContractFactory class.
What does the `AbiCoder` utility in ethers.js provide?,It provides methods for encoding and decoding data according to the ABI specification.
"Besides the standard Solidity JSON ABI, what simplified format does ethers.js support for defining contract interfaces?",Human-Readable ABI.
